取色器
ID	COLOR	ID	COLOR
180	#838B8B	408	#8B2252
181	#836FFF	409	#FF00FF
182	#7A67EE	410	#EE00EE
183	#6959CD	411	#CD00CD
184	#473C8B	412	#8B008B
185	#4876FF	413	#FF83FA
186	#436EEE	414	#EE7AE9
187	#3A5FCD	415	#CD69C9
188	#27408B	416	#8B4789
189	#0000FF	417	#FFBBFF
190	#0000EE	418	#EEAEEE
191	#0000CD	419	#CD96CD
192	#00008B	420	#8B668B
193	#1E90FF	421	#E066FF
194	#1C86EE	422	#D15FEE
195	#1874CD	423	#B452CD
196	#104E8B	424	#7A378B
197	#63B8FF	425	#BF3EFF
198	#5CACEE	426	#B23AEE
199	#4F94CD	427	#9A32CD
200	#36648B	428	#68228B
201	#00BFFF	429	#9B30FF
202	#00B2EE	430	#912CEE
203	#009ACD	431	#7D26CD
204	#00688B	432	#551A8B
205	#87CEFF	433	#AB82FF
206	#7EC0EE	434	#9F79EE
207	#6CA6CD	435	#8968CD
208	#4A708B	436	#5D478B
209	#B0E2FF	437	#FFE1FF
210	#A4D3EE	438	#EED2EE
211	#8DB6CD	439	#CDB5CD
212	#607B8B	440	#8B7B8B
213	#C6E2FF	441	#1C1C1C
214	#B9D3EE	442	#363636
215	#9FB6CD	443	#4F4F4F
216	#6C7B8B	444	#696969
217	#CAE1FF	445	#828282
218	#BCD2EE	446	#9C9C9C
219	#A2B5CD	447	#B5B5B5
220	#6E7B8B	448	#CFCFCF
221	#BFEFFF	449	#E8E8E8
222	#B2DFEE	450	#A9A9A9
223	#9AC0CD	451	#00008B
224	#68838B	452	#008B8B
225	#E0FFFF	453	#8B008B
226	#D1EEEE	454	#8B0000
227	#B4CDCD	455	#B4CDCD
228	#7A8B8B	456	#90EE90
